Card Name,Card Type,Cost,ATK,DEF,Affinity,Rarity,Ability,Formula,Have illustration,Suggested cost,Demo,Test 1,Booster Pack - Blightsilver / 9,Booster Pack - Unseen Presence / 9,Booster Pack - Wind of Dominance / 5
Trap Hole,Trap,0,,,,1,Attacking player loses 20 Crystals,,Yes,,Yes,,Yes,,
Hostage,Trap,0,,,,2,"Reveal all adjacent cells. Until the end of this turn, these square cannot be selected as attack target until the end of this turn",,Yes,,Yes,,Yes,,
Bait,Trap,0,,,,1,The defending player choose one square on their field and reveal it,,Yes,,Yes,,Yes,,
Blackmail,Trap,0,,,,2,The attacker choose either discarding 1 Tech Card or end the turn immediately,,Yes,,Yes,,Yes,,
Cursed Reflection,Trap,500,,,,3,Swap the attacker's ATK and DEF until the end of this turn,,Yes,,Yes,,,Yes,
Explosive Barrels,Trap,0,,,,5,"Destroy the attacking character. Defending player also lose crystal equal to the attacking monster's cost.
",,Yes,,Yes,,,,Yes
Hypnosis ,Trap,800,,,,4,The attacking character cannot attack during their next turn,,Yes,,Yes,,Yes,,
Flame Trap,Trap,250,,,,2,Permanently -10 ATK to the Attacking character,,Yes,,Yes,,,Yes,
Echo Barrier,Trap,1500,,,,3,All attacker’s characters cannot attack until the end of this turn,,Yes,,Yes,,,Yes,
Mana Drain,Trap,200,,,,2,Attacking player loses 300 crystals. Increase your crystal by that amount,,Yes,,,,,,
Defensive Pheromone,Trap,500,,,,3,Select 1 'Armored' Nature card and switch it with this cell,,Yes,,Yes,,,Yes,
Spike Trap,Trap,1500,,,,5,Destroy the attacking character,,Yes,,Yes,,,,Yes
Snare Trap,Trap,500,,,,4,The attacker's effect becomes None until the end of their next turn,,Yes,,Yes,,,,Yes
Brainwash,Trap,1500,,,,5,The attacking player chooses their own ally as an attack target,,Yes,,Yes,,,Yes,
Bunker,Trap,900,,,,4,Player cannot select adjacent cell as an attack target until the end of this turn.,,Yes,,Yes,,,,Yes
Foul Gas,Trap,0,,,,3,-5 ATK to all the attacking player’s characters until the end of this turn,,Yes,,Yes,,Yes,,
Choking Gas,Trap,800,,,,4,-20 ATK to all the attacking player’s characters until the end of this turn,,Yes,,,,,,
Potent Poison,Trap,600,,,,4,Attacking character permanently lose 5 ATK and DEF for each trap cards in your void,,Yes,,,,,,
Acid Trap Hole,Trap,0,,,,1,Attacking player loses 50 Crystals,,Yes,,Yes,,Yes,,
Lava Trap Hole,Trap,50,,,,2,Attacking player loses 100 Crystals,,Yes,,,,,,
Fissure,Trap,100,,,,3,Attacking player loses 200 Crystals,,Yes,,,,,,
Soul Blast,Trap,1000,,,,5,Attacking player lose 150 Crystals for each character cards in your void,,Yes,,,,,,
Grudge,Trap,850,,,,2,-10 ATK to the attacking monster permanently for each character cards in your void,,Yes,,,,,,
Anti-virus,Trap,600,,,,1,"If attacking character Is Bio affinity, flip a coin. If head, destroy it.",,Yes,,,,,,
Witch Hunt,Trap,600,,,,1,"If attacking character Is Arcane affinity, flip a coin. If head, destroy it.",,Yes,,,,,,
Standoff,Trap,600,,,,1,"If attacking character Is Anima affinity, flip a coin. If head, destroy it.",,Yes,,,,,,
Apple of Adam,Trap,600,,,,1,"If attacking character Is Divine affinity, flip a coin. If head, destroy it.",,Yes,,,,,,
Purify,Trap,600,,,,1,"If attacking character Is Chaos affinity, flip a coin. If head, destroy it.",,Yes,,,,,,
Solar Flare,Trap,600,,,,1,"If attacking character Is Cosmic affinity, flip a coin. If head, destroy it.",,Yes,,,,,,
Hunting Season,Trap,600,,,,1,"If attacking character Is Nature affinity, flip a coin. If head, destroy it.",,Yes,,,,,,
Dart Trap,Trap,300,,,,2,"If the attacking monster is the first one in that turn, destroy it.",,Yes,,,,,,
Science Cage,Trap,800,,,,3,"If attacking character Is Bio affinity, end their turn immediately. Remove all flags from it.",,Yes,,,,,,
Loop Hole,Trap,800,,,,3,"If attacking character Is Arcane, the next attack of your opponent on a dead endcard will end the their turn",,Yes,,,,,,
Talisman of Light,Trap,800,,,,3,"If attacking character Is Chaos, -20 ATK to that monster permanently",,Yes,,,,,,
Forbidden Grail,Trap,800,,,,3,"If attacking character Is Divine, -20 DEF to that monster permanently",,Yes,,,,,,
Electric Fence,Trap,800,,,,3,"If attacking character Is Nature, it cannot attack for the rest of their next turn",,Yes,,,,,,
Discourage,Trap,800,,,,3,If attacking character Is Anima -15 ATK to all face-up cards on their field until the end of their turn,,Yes,,,,,,
Galaxy Toll,Trap,800,,,,3,"If attacking character Is Cosmic, your opponent choose either pay 800 crystal cost. Or it cannot attack for the rest of their next turn",,Yes,,,,,,
Union Cage,Trap,1200,,,,3,"If attacking character Is Union card, that character cannot attack until the end of their next turn.",,Yes,,,,,,
Plunder,Trap,1500,,,,4,"Your opponent choose to let you receive 2000 crystals, or destroy the attacking monster.",,Yes,,,,,,
Decoy Puppet,Trap,500,,,,2,"Can be triggered whenever your card battles, 1 attacker’s attack is cancelled",,,,Yes,,,Yes,
Hard Scale,Trap,700,,,,1,"Can be triggered whenever your card battles,. +5 DEF to 1 of your card until the end of this turn",,,,Yes,,,Yes,
Steel Scale,Trap,1200,,,,1,Can be triggered face-down. +15 DEF to 1 of your card until the end of this turn,,,,,,,,
Trick Door,Trap,1500,,,,1,Swap position between 2 face-up characters on your side of the field,,,,,,,,
Boiling Oil,Trap,950,,,,1,Can be triggered face-down. -10 ATK to 1 of your opponent card until the end of this turn,,,,,,,,
Lightning Rod,Trap,0,,,,3,Opponent lose 1000 crystals if they target this card with any tech card,,,,,,,,
Dreamcatcher,Trap,2000,,,,5,You can use this trap when your opponent use a tech card. That tech card effect is cancelled. Your opponent can attack for 1 additional time.,,,,,,,,
Stumble,Trap,100,,,,1,Your opponent end turn immediately. They get 1 additional attack on their next turn.,,,,,,,,
Attention Catcher,,0,,,,1,"Unil the end of your turn, All face-up Bio monster gain +5 ATK",,,,,,,,
Red Card,,0,,,,2,"Flip 2 coin, if head, that character cannot attack next turn",,,,Yes,,,Yes,
Counter Punch,,0,,,,2,-5 DEF until the end of your turn,,,,,,,,
Counter Tackle,,500,,,,3,-15 DEF until the end of your turn,,,,,,,,
Street Joke,,0,,,,1,"Reveal 1 of your cell, you receive 100 crystal",,,,Yes,,Yes,,
Alarm,,0,,,,1,"Unil the end of this urn, All face-up Anima monster gain +5 DEF",,,,Yes,,Yes,,
Protective Instinct,,0,,,,1,"Select 1 of your Nature card. Until the end of next turn, that card gain +10 ATK",,,,,,,,
Self-destruct,,0,,,,2,"Select 1 of your character card. Until the end of next turn, that card gain +10 ATK, but destroy it at the end of next turn. You do not lose crystal from card destroyed under this effect",,,,Yes,,,,Yes
Bounty,,0,,,,2,"Until the end of your turn, if you destroy that character, you receive 200 crystals",,,,,,,,
Pepper Spray,,0,,,,1,"Flip 2 coin, if head, the attacking character lose -5 ATK until the end of their next turn.",,,,Yes,,,Yes,
